MARCA;CODIGO;DESCRIPCION;CANTIDAD;MINIMO;UBICACIÓN;SERIAL;PRECIO_COSTO;PRECIO_DIST;PRECIO_INT;PRECIO_GENERAL;IMAGEN;;;;;;;;;;;;
ABB;2CDS251001R0324;ABB - Interruptor min din 32A 1P serie S200-C;;;;;5.49;8.23;9.60;10.98;;;;;;;;;;;;;
ABB;2CSF204101R3950;ABB - Interruptor min din 125A 3P+N dif 300mA Serie F204;;;;;548.70;823.05;960.22;1097.40;;;;;;;;;;;;;
ABB;2CDS254001R0104;ABB - Interruptor min din 10A 4P Serie S200-C;;;;;21.43;32.15;37.51;42.86;;;;;;;;;;;;;
ABB;2CDS254001R0254;ABB - Interruptor min din 25A 4P Serie S200-C;;;;;22.50;33.75;39.37;45.00;;;;;;;;;;;;;
ABB;2CDS252001R0064;ABB - Interruptor min din 6A 2P Serie S200-C;;;;;11.92;17.88;20.86;23.84;;;;;;;;;;;;;
ABB;2CSF202005R3630;ABB - Interruptor min din 63A 1P+N dif 300mA Serie F202 AC;;;;;89.88;134.82;157.29;179.76;;;;;;;;;;;;;
ABB;1SDA063547R1;ABB - Bobina de apertura 120..127VAC/DC Serie T7;;;;;65.24;97.86;114.17;130.48;;;;;;;;;;;;;
ABB;1SDA066426R1;ABB - Contacto auxiliar 3CO 250VAC/DC Serie XT1;;;;;21.85;32.77;38.23;43.70;;;;;;;;;;;;;
ABB;1SDA051368R1;ABB - Contacto auxiliar 1NO-1NC Serie T1..T6;;;;;18.91;28.36;33.09;37.82;;;;;;;;;;;;;
ABB;1SDA073754R1;ABB - Contacto auxiliar 4CO 24VDC Serie E2.2..E6.2;;;;;95.16;142.74;166.53;190.32;;;;;;;;;;;;;
ABB;1SDA051369R1;ABB - Contacto auxiliar 3CO Serie T1..T6;;;;;37.88;56.82;66.29;75.76;;;;;;;;;;;;;
ABB;1SDA054917R1;ABB - Contacto señalizacion mando man-aut para MOE T4..T6;;;;;13.96;20.94;24.43;27.92;;;;;;;;;;;;;
ABB;1SDA066422R1;ABB - Contacto auxiliar 1CO 250VAC/DC Serie XT1..XT6;;;;;9.50;14.25;16.62;19.00;;;;;;;;;;;;;
ABB;1SDA066391R1;ABB - Bobina de bajo voltaje 110..127VAC/DC Serie XT1..XT4;;;;;20.27;30.41;35.47;40.54;;;;;;;;;;;;;
ABB;1SDA058260R1;ABB - Trip elect 1/4 PR121..123 Serie E1.6-T8;;;;;79.08;118.62;138.39;158.16;;;;;;;;;;;;;
ABB;1SDA068767R1;ABB - Interruptor caja moldeada 63A 2P Serie A1N;;;;;38.29;57.44;67.00;76.58;;;;;;;;;;;;;
ABB;1SDA066664R1;ABB - Cubre bornes altos 3P para Serie XT1;;;;;9.53;14.29;16.67;19.06;;;;;;;;;;;;;
ABB;1SDA066668R1;ABB - Cubre bornes altos 3P para interruptores Serie XT3 (2pcs);;;;;10.43;15.65;18.25;20.86;;;;;;;;;;;;;
ABB;1SDA066666R1;ABB - Cubre bornes altos 3P para interruptores Serie XT2 (2pcs);;;;;9.38;14.07;16.42;18.76;;;;;;;;;;;;;
ABB;1SBL347001R1311;ABB - Contactor 40A Bobina 110V 1NO-1NC Serie AF40-30;;;;;65.57;98.35;114.74;131.14;;;;;;;;;;;;;
ABB;1SBN010120R1011;ABB - Contacto auxiliar 1NC/1NO Serie CAL4-11;;;;;4.70;7.05;8.23;9.40;;;;;;;;;;;;;
ABB;1SBL137001R1110;ABB - Contactor 9A Bobina 24V 1NO Serie AF09-30;;;;;17.23;25.84;30.15;34.46;;;;;;;;;;;;;
ABB;1SDA055030R1;ABB - Kit de terminales 2x240mm2 Serie T5;;;;;104.63;156.94;183.10;209.26;;;;;;;;;;;;;
ABB;1SDA054990R1;ABB - Kit de terminales 2x150mm2 Serie T4;;;;;102.66;153.99;179.65;205.32;;;;;;;;;;;;;
ABB;1SDA060427R1;ABB - Kit de terminales traseros Serie T6;;;;;162.29;243.44;284.00;324.58;;;;;;;;;;;;;
ABB;1SAZ911201R1004;ABB - Rele termico para contactores de 65..78A 690VAC Serie TF96-78;;;;;62.47;93.70;109.32;124.94;;;;;;;;;;;;;
ABB;1SAZ431201R1002;ABB - Rele termico para contactores de 80..100A 690VAC Serie TF140DU-110;;;;;78.73;118.10;137.78;157.46;;;;;;;;;;;;;
ABB;1SDA063112R1;ABB - Kit de terminales 4x240mm2 Serie T7-T7M;;;;;96.80;145.20;169.40;193.60;;;;;;;;;;;;;
ABB;1SCA022776R7890;ABB - Cubre borne 1P para Serie OTS800G1L/3;;;;;22.84;34.26;39.97;45.68;;;;;;;;;;;;;
ABB;1SDA067189R1;ABB - Kit de terminales 2x35..120mm2 Serie XT3;;;;;74.76;112.14;130.83;149.52;;;;;;;;;;;;;
ABB;9T58K2804;ABB - Transformador de control 100VA Pri:240/480V Sec:120/240V;;;;;0.00;;;0.00;;;;;;;;;;;;;
ABB;2CDS200936R0001;ABB - Contacto auxiliar 1NC/1NO para mini interruptor Serie S2C-H;;;;;31.15;46.72;54.51;62.30;;;;;;;;;;;;;
ABB;2CSF202005R1800;ABB - Interruptor min din 80A 1P+N dif 30mA Serie F202;;;;;115.00;172.50;201.25;230.00;;;;;;;;;;;;;
ABB;2CDS271347R0487;ABB - Interruptor min din 20A 1P Serie SU201MR;;;;;20.80;31.20;36.40;41.60;;;;;;;;;;;;;
ABB;2CDS273347R0577;ABB - Interruptor min din 50A 3P Serie SU200MR;;;;;109.74;164.61;192.04;219.48;;;;;;;;;;;;;
ABB;2CDS273347R0557;ABB - Interruptor min din 40A 3P Serie SU200MR;;;;;26.74;40.11;46.80;53.48;;;;;;;;;;;;;
ABB;2CDS271347R0527;ABB - Interruptor min din 30A 1P Serie SU200MR;;;;;23.55;35.32;41.21;47.10;;;;;;;;;;;;;
ABB;2CDS273347R0467;ABB - Interruptor min din 16A 3P Serie SU200MR;;;;;72.82;109.23;127.43;145.64;;;;;;;;;;;;;
ABB;2CDS272347R0537;ABB - Interruptor min din 32A 2P Serie SU200MR;;;;;54.21;81.31;94.86;108.42;;;;;;;;;;;;;
ABB;2CDS271347R0537;ABB - Interruptor min din 32A 1P Serie SU200MR;;;;;23.55;35.32;41.21;47.10;;;;;;;;;;;;;
ABB;2CDS271347R0277;ABB - Interruptor min din 2A 1P Serie SU200MR;;;;;23.55;35.32;41.21;47.10;;;;;;;;;;;;;
ABB;2CDS271347R0457;ABB - Interruptor min din 15A 1P Serie SU200MR;;;;;20.80;31.20;36.40;41.60;;;;;;;;;;;;;
ABB;1SDA069730R1;ABB - Interruptor caja moldeada 100A 2P Serie A1A;;;;;49.49;74.24;86.61;98.98;;;;;;;;;;;;;
ABB;1SDA060268R1;ABB - Interruptor caja moldeada 800A 3P Serie T6N;;;;;1176.99;1765.49;2059.74;2353.98;;;;;;;;;;;;;
ABB;1SDA053997R1;ABB - Interruptor caja moldeada 100A 3P Serie T4N;;;;;417.15;625.73;730.01;834.30;;;;;;;;;;;;;
ABB;1SDA054325R1;ABB - Interruptor caja moldeada 400A 4P Serie T5N;;;;;477.22;715.73;835.01;954.44;;;;;;;;;;;;;
ABB;1SDA066803R1;ABB - Interruptor caja moldeada 28..40A 3P Serie XT1;;;;;35.11;52.67;61.44;70.22;;;;;;;;;;;;;
